,artist,date,genre,style,title,filename,20,res_all,res_fc,vgg_all,vgg_fc,vgg_last,res_all_acc,res_fc_acc,vgg_all_acc,vgg_fc_acc,vgg_last_acc,all_true
0,Marcel Broodthaers,1969,figurative,Conceptual Art,Minuit,14515.jpg,1960-1979,1920-1939,1980-1999,1920-1939,1900-1919,1960-1979,False,False,False,False,True,False
1,John Singer Sargent,1876,marina,Impressionism,Atlantic Storm,94528.jpg,1860-1879,1880-1899,1900-1919,1860-1879,1860-1879,1920-1939,False,False,True,True,False,False
2,William Merritt Chase,1882,interior,Impressionism,"The Inner Studio, Tenth Street",93146.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1900-1919,1880-1899,True,False,True,False,True,False
3,Claude Monet,1902,landscape,Impressionism,Charing Cross Bridge 02,102612.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,True,True,True,True,True,True
4,Christopher Wood,1930,genre painting,Post-Impressionism,"Building the Boat, Tréboul ",58078.jpg,1920-1939,1920-1939,1900-1919,1900-1919,1920-1939,1960-1979,True,False,False,True,False,False
5,Theo van Rysselberghe,1911,still life,Post-Impressionism,Vase of Flowers,86709.jpg,1900-1919,1880-1899,1900-1919,1860-1879,1920-1939,1880-1899,False,True,False,False,False,False
6,John Singer Sargent,1887,portrait,Realism,Mrs. William Playfair,27566.jpg,1880-1899,1880-1899,1860-1879,1900-1919,1880-1899,1880-1899,True,False,False,True,True,False
7, Wassily Kandinsky,1917,abstract,Abstract Art,Improvisation 29,64187.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1920-1939,1940-1959,True,True,True,False,False,False
8,Otto Dix,1912,self-portrait,Verism,Self-Portrait,94279.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,True,True,True,True,True,True
9,Frantisek Kupka,1908,nude painting (nu),Expressionism,The Little Girl with a Ball,72696.jpg,1900-1919,1900-1919,1940-1959,1900-1919,1900-1919,1900-1919,True,False,True,True,True,False
10,John Atkinson Grimshaw,1893,landscape,Romanticism,Golden Light,3680.jpg,1880-1899,1860-1879,1980-1999,1860-1879,1880-1899,1900-1919,False,False,False,True,False,False
11,Pablo Picasso,1961,genre painting,Expressionism,The Luncheon on the Grass,26914.jpg,1960-1979,1920-1939,1900-1919,1920-1939,1920-1939,1920-1939,False,False,False,False,False,False
12,David Bomberg,1947,landscape,Expressionism,"Tregor and Tregoff, Cornwall",82291.jpg,1940-1959,1900-1919,1920-1939,1940-1959,1920-1939,1940-1959,False,False,True,False,True,False
